epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,3.2514898777008057,1.6118321418762207,4.335317611694336,2.939706563949585,1.7763558626174927,3.9196081161499023,1.7763559818267822,3.9196085929870605,1.6118320226669312,4.335319995880127
1,3.2393949031829834,1.6047512292861938,4.319193363189697,3.0583081245422363,1.816130518913269,4.077744007110596,1.8161306381225586,4.077744007110596,1.6047507524490356,4.319193363189697
2,3.214946985244751,1.6076136827468872,4.28659200668335,2.999561071395874,1.7951326370239258,3.999415159225464,1.7951326370239258,3.9994149208068848,1.6076146364212036,4.286595821380615
3,3.2849440574645996,1.6194792985916138,4.379924774169922,2.9891293048858643,1.7939815521240234,3.9855053424835205,1.7939815521240234,3.9855058193206787,1.6194798946380615,4.379925727844238
4,3.22076153755188,1.601202368736267,4.294351100921631,2.92578387260437,1.7740200757980347,3.9010448455810547,1.7740200757980347,3.901045083999634,1.601202368736267,4.29434871673584
5,3.23860502243042,1.601770043373108,4.318138599395752,2.9835281372070312,1.7926850318908691,3.9780375957489014,1.7926852703094482,3.9780375957489014,1.6017688512802124,4.318140029907227
6,3.1967766284942627,1.5963512659072876,4.262370586395264,2.9805757999420166,1.787191390991211,3.9741008281707764,1.78719162940979,3.9741008281707764,1.5963518619537354,4.262368679046631
7,3.1964447498321533,1.5985393524169922,4.261926651000977,2.8955202102661133,1.7629051208496094,3.8606934547424316,1.7629050016403198,3.8606936931610107,1.5985392332077026,4.261926174163818
8,3.203920364379883,1.592268705368042,4.271895885467529,2.9287915229797363,1.7738065719604492,3.905055046081543,1.7738068103790283,3.905055284500122,1.592268705368042,4.2718939781188965
9,3.2255873680114746,1.599997878074646,4.300783157348633,2.8660309314727783,1.7549734115600586,3.8213751316070557,1.7549734115600586,3.8213746547698975,1.5999984741210938,4.300783157348633
10,3.188779354095459,1.5935430526733398,4.251704692840576,2.9100944995880127,1.7703429460525513,3.8801257610321045,1.7703430652618408,3.8801259994506836,1.5935438871383667,4.251705646514893
11,3.181257963180542,1.5926636457443237,4.241678714752197,2.846428871154785,1.7466071844100952,3.795238733291626,1.7466074228286743,3.795238494873047,1.5926648378372192,4.241677284240723
12,3.13236665725708,1.5854376554489136,4.176487445831299,2.898268222808838,1.7644027471542358,3.8643577098846436,1.7644028663635254,3.8643577098846436,1.5854374170303345,4.176488876342773
13,3.1539435386657715,1.58475661277771,4.205257892608643,2.899832010269165,1.76201593875885,3.8664419651031494,1.76201593875885,3.8664424419403076,1.5847554206848145,4.205257892608643
14,3.1852660179138184,1.5896477699279785,4.247021198272705,2.9013543128967285,1.7653928995132446,3.8684723377227783,1.7653928995132446,3.8684723377227783,1.589647889137268,4.247021198272705
15,3.1134469509124756,1.5756694078445435,4.151262283325195,2.8230955600738525,1.742540717124939,3.764127254486084,1.7425408363342285,3.764127254486084,1.5756691694259644,4.1512627601623535
16,3.1146509647369385,1.5724667310714722,4.152868270874023,2.814492702484131,1.7402294874191284,3.752657651901245,1.7402290105819702,3.752656936645508,1.572466492652893,4.152867794036865
17,3.1282448768615723,1.5767369270324707,4.170993328094482,2.8250722885131836,1.7378220558166504,3.7667620182037354,1.7378218173980713,3.7667629718780518,1.5767372846603394,4.170993328094482
18,3.0590720176696777,1.5714519023895264,4.078762054443359,2.831024646759033,1.7401405572891235,3.7746996879577637,1.7401407957077026,3.7746994495391846,1.5714523792266846,4.078762531280518
