epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,0.4415237605571747,0.35055479407310486,0.227731853723526,0.5025023818016052,0.3865165114402771,0.31233128905296326,0.3865165114402771,0.31233128905296326,0.35055479407310486,0.227731853723526
1,0.2825303375720978,0.2745036482810974,0.12809976935386658,0.3466740846633911,0.3058391213417053,0.16587963700294495,0.3058391213417053,0.16587963700294495,0.2745036482810974,0.12809976935386658
2,0.27892884612083435,0.2699664235115051,0.12484733760356903,0.27020618319511414,0.25805217027664185,0.1152762621641159,0.25805217027664185,0.1152762621641159,0.2699664235115051,0.12484733760356903
3,0.2758999168872833,0.26804083585739136,0.1233992725610733,0.23834441602230072,0.2279602438211441,0.08679669350385666,0.2279602438211441,0.08679669350385666,0.26804083585739136,0.1233992725610733
4,0.2716916501522064,0.263980507850647,0.1192227229475975,0.37194785475730896,0.33576586842536926,0.1894589066505432,0.33576586842536926,0.1894589066505432,0.263980507850647,0.1192227229475975
5,0.27060073614120483,0.2615954279899597,0.11781695485115051,0.26087093353271484,0.2511294484138489,0.10031697154045105,0.2511294484138489,0.10031697154045105,0.2615954279899597,0.11781695485115051
6,0.2629876136779785,0.25652816891670227,0.11167588084936142,0.22776679694652557,0.20715944468975067,0.07161613553762436,0.20715944468975067,0.07161613553762436,0.25652816891670227,0.11167588084936142
7,0.2658606171607971,0.2586418688297272,0.11431796103715897,0.25937387347221375,0.23302702605724335,0.08938413113355637,0.23302702605724335,0.08938413113355637,0.2586418688297272,0.11431796103715897
8,0.2688461244106293,0.26037871837615967,0.11602471023797989,0.22219020128250122,0.21277298033237457,0.07427413761615753,0.21277298033237457,0.07427413761615753,0.26037871837615967,0.11602471023797989
9,0.2670678496360779,0.258182555437088,0.11489849537611008,0.26156842708587646,0.2342243790626526,0.08958948403596878,0.2342243790626526,0.08958948403596878,0.258182555437088,0.11489849537611008
10,0.2602189779281616,0.25209203362464905,0.10747755318880081,0.2586197257041931,0.22820104658603668,0.09150319546461105,0.22820104658603668,0.09150319546461105,0.25209203362464905,0.10747755318880081
11,0.2693689465522766,0.26151299476623535,0.11651601642370224,0.2392442673444748,0.2029711753129959,0.06478754431009293,0.2029711753129959,0.06478754431009293,0.26151299476623535,0.11651601642370224
12,0.26441991329193115,0.2571733593940735,0.11226504296064377,0.46469682455062866,0.3909541070461273,0.2778879404067993,0.3909541070461273,0.2778879404067993,0.2571733593940735,0.11226504296064377
13,0.26043516397476196,0.25287383794784546,0.10867315530776978,0.2722388207912445,0.26552262902259827,0.11175324022769928,0.26552262902259827,0.11175324022769928,0.25287383794784546,0.10867315530776978
