epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,529795.5,543.6560668945312,529795.5,442173.5625,481.5423278808594,442173.5625
1,414764.96875,498.01873779296875,414764.96875,382095.65625,435.8525085449219,382095.65625
2,262615.1875,413.88153076171875,262615.1875,134950.953125,307.749755859375,134950.953125
3,134961.171875,309.76922607421875,134961.171875,85519.8828125,210.3273468017578,85519.8828125
4,59591.171875,210.64784240722656,59591.171875,25110.787109375,147.09132385253906,25110.787109375
5,28409.08203125,140.387939453125,28409.08203125,230210.609375,459.99176025390625,230210.609375
6,17233.931640625,101.62262725830078,17233.931640625,321514.75,505.8221740722656,321514.75
7,12849.4814453125,85.40740966796875,12849.4814453125,316420.71875,501.4247131347656,316420.71875
8,10955.8583984375,76.55513000488281,10955.8583984375,380459.0625,530.3185424804688,380459.0625
9,10039.5673828125,75.50096130371094,10039.5673828125,250744.953125,449.7408447265625,250744.953125
10,12122.712890625,82.58355712890625,12122.712890625,259152.09375,422.16546630859375,259152.09375
11,11482.177734375,80.49840545654297,11482.177734375,260927.3125,416.4535827636719,260927.3125
12,11599.337890625,82.62146759033203,11599.337890625,74990.5625,236.24322509765625,74990.5625
13,10403.7490234375,78.36305236816406,10403.7490234375,261684.9375,415.15496826171875,261684.9375
14,10245.763671875,76.94775390625,10245.763671875,239968.734375,399.80780029296875,239968.734375
15,9800.6162109375,75.5011978149414,9800.6162109375,402268.65625,483.2805480957031,402268.65625
16,11376.9609375,83.48778533935547,11376.9609375,261623.65625,415.2334899902344,261623.65625
17,10102.7998046875,79.12541198730469,10102.7998046875,262337.46875,414.2867431640625,262337.46875
18,8931.587890625,73.92079162597656,8931.587890625,260252.46875,418.11236572265625,260252.46875
19,9131.322265625,74.54582214355469,9131.322265625,276817.15625,446.5859375,276817.15625
20,9057.10546875,73.4688720703125,9057.10546875,16878.017578125,118.49102783203125,16878.017578125
21,9671.2412109375,77.66636657714844,9671.2412109375,20922.177734375,139.34970092773438,20922.177734375
22,9803.4638671875,78.01463317871094,9803.4638671875,262806.65625,439.656005859375,262806.65625
23,9903.9755859375,76.50164031982422,9903.9755859375,263777.8125,441.5247802734375,263777.8125
24,10193.025390625,78.70114135742188,10193.025390625,315626.96875,363.12030029296875,315626.96875
25,8846.3115234375,72.86202239990234,8846.3115234375,274534.4375,458.4642028808594,274534.4375
26,8272.4501953125,72.60221099853516,8272.4501953125,1862354.375,1205.19677734375,1862354.375
27,9050.1689453125,74.48208618164062,9050.1689453125,272074.8125,455.13330078125,272074.8125
28,9652.689453125,77.92522430419922,9652.689453125,241170.5625,351.38330078125,241170.5625
29,8809.9345703125,73.69580078125,8809.9345703125,264360.3125,442.53521728515625,264360.3125
30,9650.8427734375,77.0123291015625,9650.8427734375,267757.75,448.43927001953125,267757.75
31,8775.7978515625,74.77455139160156,8775.7978515625,4091825.0,1881.225341796875,4091825.0
32,8359.6787109375,73.14446258544922,8359.6787109375,272600.875,455.8442687988281,272600.875
33,8950.6796875,74.60967254638672,8950.6796875,274815.75,458.8187255859375,274815.75
34,9959.193359375,80.4792709350586,9959.193359375,180612.34375,335.06048583984375,180612.34375
35,8632.576171875,72.86521911621094,8632.576171875,21521.00390625,142.82742309570312,21521.00390625
36,8472.583984375,75.43384552001953,8472.583984375,271348.78125,449.83721923828125,271348.78125
37,9126.8994140625,74.07227325439453,9126.8994140625,367104.03125,545.6536865234375,367104.03125
38,9029.6806640625,74.5844497680664,9029.6806640625,262582.8125,457.3792724609375,262582.8125
39,9435.4541015625,76.52202606201172,9435.4541015625,16193525.0,3516.708984375,16193525.0
40,9058.7158203125,76.24609375,9058.7158203125,321588.5625,304.9073486328125,321588.5625
41,8591.900390625,72.8382797241211,8591.900390625,3406284.25,1719.228759765625,3406284.25
42,7911.0185546875,69.72620391845703,7911.0185546875,11298376.0,3271.5810546875,11298376.0
43,8652.400390625,74.0985107421875,8652.400390625,207500.5625,224.31436157226562,207500.5625
44,7933.685546875,70.47821807861328,7933.685546875,723567.125,657.1937255859375,723567.125
45,8207.3232421875,72.30780029296875,8207.3232421875,28867362.0,5192.6005859375,28867362.0
46,7899.00146484375,70.49545288085938,7899.00146484375,162623.375,341.1819763183594,162623.375
47,8664.1728515625,74.88542175292969,8664.1728515625,3868.40869140625,60.456031799316406,3868.40869140625
48,9026.6142578125,75.93282318115234,9026.6142578125,813217.1875,689.9451293945312,813217.1875
49,8175.3876953125,72.62216186523438,8175.3876953125,958435.125,897.528564453125,958435.125
50,8997.9033203125,72.87027740478516,8997.9033203125,594984.0625,666.2744140625,594984.0625
51,9014.029296875,74.40872955322266,9014.029296875,3606646.0,1820.1005859375,3606646.0
52,8643.8271484375,73.98860168457031,8643.8271484375,5924.734375,75.21935272216797,5924.734375
53,8863.5849609375,74.83088684082031,8863.5849609375,5772.205078125,55.913143157958984,5772.205078125
54,8370.4794921875,73.11966705322266,8370.4794921875,84184.8359375,280.0142822265625,84184.8359375
55,8327.853515625,71.62947845458984,8327.853515625,692000.875,722.8067016601562,692000.875
56,8730.09765625,75.53437042236328,8730.09765625,297337.28125,424.5020751953125,297337.28125
57,7992.59130859375,72.10003662109375,7992.59130859375,412216.15625,446.88323974609375,412216.15625
58,8527.6298828125,73.95050048828125,8527.6298828125,257778.40625,445.93023681640625,257778.40625
59,9678.0576171875,77.590576171875,9678.0576171875,47095.71484375,198.66944885253906,47095.71484375
60,8680.431640625,75.79071044921875,8680.431640625,112659.34375,308.63458251953125,112659.34375
