epoch,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,3.17109751701355,1.6229591369628906,3.9106271266937256,1.2156028747558594,0.9984544515609741,1.5286335945129395,0.9974539279937744,1.5212576389312744,1.6442235708236694,3.985553026199341
1,3.0793747901916504,1.6004849672317505,3.7960405349731445,2.791027307510376,1.5333526134490967,3.455717086791992,1.5507270097732544,3.5125656127929688,1.6196913719177246,3.8609631061553955
2,2.9807608127593994,1.572441577911377,3.6794793605804443,2.8725922107696533,1.547721266746521,3.538557291030884,1.5681812763214111,3.605557441711426,1.5913628339767456,3.741140842437744
3,2.8773529529571533,1.5467783212661743,3.5605313777923584,2.799423933029175,1.5259783267974854,3.453080892562866,1.5429270267486572,3.512155771255493,1.5617976188659668,3.607724905014038
4,2.8078997135162354,1.5301086902618408,3.4793813228607178,2.7447502613067627,1.513259768486023,3.3922555446624756,1.5311458110809326,3.455353260040283,1.5457497835159302,3.5305302143096924
5,2.692976951599121,1.4975862503051758,3.3449718952178955,2.6473731994628906,1.4936567544937134,3.2956321239471436,1.506211519241333,3.331277847290039,1.511451005935669,3.3880462646484375
6,2.6030824184417725,1.4712753295898438,3.2336456775665283,2.5539653301239014,1.4601110219955444,3.196500539779663,1.4715585708618164,3.2267041206359863,1.4824737310409546,3.2660410404205322
7,2.52760648727417,1.4477736949920654,3.1443850994110107,2.5153703689575195,1.4532756805419922,3.120375871658325,1.461922526359558,3.139479398727417,1.457558274269104,3.172022581100464
8,2.411687135696411,1.4150813817977905,3.004915237426758,2.3707103729248047,1.4101155996322632,2.9620249271392822,1.414957046508789,2.976058006286621,1.4222102165222168,3.0222136974334717
9,2.324382781982422,1.3854284286499023,2.8978161811828613,2.23992657661438,1.3614981174468994,2.804288625717163,1.3686864376068115,2.8215131759643555,1.3920063972473145,2.91328763961792
10,2.269756555557251,1.370697021484375,2.83725905418396,2.197538137435913,1.3555121421813965,2.7519352436065674,1.362224817276001,2.7701823711395264,1.3767006397247314,2.8506898880004883
11,2.1678836345672607,1.3401292562484741,2.717874526977539,2.1083476543426514,1.335661768913269,2.6511178016662598,1.3384959697723389,2.6553750038146973,1.3437166213989258,2.721440553665161
12,2.106393575668335,1.3181873559951782,2.6421890258789062,2.0273611545562744,1.3015762567520142,2.556640148162842,1.3027844429016113,2.5484414100646973,1.3201096057891846,2.6409387588500977
