epoch,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,0.2732539772987366,0.14794683456420898,0.051523346453905106,0.17672424018383026,0.051523346453905106,0.17672424018383026,0.051523346453905106,0.2732539772987366,0.14794683456420898
1,0.1832784116268158,0.05509820207953453,0.054945215582847595,0.18281535804271698,0.054945215582847595,0.18281535804271698,0.054945215582847595,0.1832784116268158,0.05509820207953453
2,0.17283600568771362,0.04928893223404884,0.04691607505083084,0.1700020283460617,0.04691607505083084,0.1700020283460617,0.04691607505083084,0.17283600568771362,0.04928893223404884
3,0.17322508990764618,0.04985442012548447,0.05649484694004059,0.18530799448490143,0.05649484694004059,0.18530799448490143,0.05649484694004059,0.17322508990764618,0.04985442012548447
4,0.1743534803390503,0.050603482872247696,0.04208091273903847,0.1614680141210556,0.04208091273903847,0.1614680141210556,0.04208091273903847,0.1743534803390503,0.050603482872247696
5,0.1705445498228073,0.04759025573730469,0.08817929774522781,0.23509065806865692,0.08817929774522781,0.23509065806865692,0.08817929774522781,0.1705445498228073,0.04759025573730469
6,0.17252402007579803,0.048959556967020035,0.05706742778420448,0.18247616291046143,0.05706742778420448,0.18247616291046143,0.05706742778420448,0.17252402007579803,0.048959556967020035
7,0.17405544221401215,0.05038456246256828,0.04746457561850548,0.17032843828201294,0.04746457561850548,0.17032843828201294,0.04746457561850548,0.17405544221401215,0.05038456246256828
8,0.17230267822742462,0.04889560118317604,0.06878061592578888,0.19589971005916595,0.06878061592578888,0.19589971005916595,0.06878061592578888,0.17230267822742462,0.04889560118317604
9,0.1685066819190979,0.04685002937912941,0.04696384072303772,0.1702103614807129,0.04696384072303772,0.1702103614807129,0.04696384072303772,0.1685066819190979,0.04685002937912941
10,0.16943222284317017,0.04752955585718155,0.06084145978093147,0.18842460215091705,0.06084145978093147,0.18842460215091705,0.06084145978093147,0.16943222284317017,0.04752955585718155
11,0.16691461205482483,0.04592091962695122,0.047654230147600174,0.16991260647773743,0.047654230147600174,0.16991260647773743,0.047654230147600174,0.16691461205482483,0.04592091962695122
12,0.1675497591495514,0.04608941078186035,0.04619394987821579,0.16675199568271637,0.04619394987821579,0.16675199568271637,0.04619394987821579,0.1675497591495514,0.04608941078186035
13,0.16773761808872223,0.04669487476348877,0.04843613877892494,0.170758455991745,0.04843613877892494,0.170758455991745,0.04843613877892494,0.16773761808872223,0.04669487476348877
14,0.16783511638641357,0.046449605375528336,0.060160793364048004,0.1876339316368103,0.060160793364048004,0.1876339316368103,0.060160793364048004,0.16783511638641357,0.046449605375528336
15,0.16871348023414612,0.04733562096953392,0.04519540071487427,0.16561074554920197,0.04519540071487427,0.16561074554920197,0.04519540071487427,0.16871348023414612,0.04733562096953392
16,0.16777732968330383,0.046521395444869995,0.05196424573659897,0.17435401678085327,0.05196424573659897,0.17435401678085327,0.05196424573659897,0.16777732968330383,0.046521395444869995
17,0.16459015011787415,0.044704727828502655,0.05619955062866211,0.1829468160867691,0.05619955062866211,0.1829468160867691,0.05619955062866211,0.16459015011787415,0.044704727828502655
18,0.1660594493150711,0.04528206214308739,0.04163896664977074,0.15980689227581024,0.04163896664977074,0.15980689227581024,0.04163896664977074,0.1660594493150711,0.04528206214308739
19,0.16792058944702148,0.0468427948653698,0.045110512524843216,0.16560056805610657,0.045110512524843216,0.16560056805610657,0.045110512524843216,0.16792058944702148,0.0468427948653698
20,0.16760069131851196,0.04605233296751976,0.04729997739195824,0.17090624570846558,0.04729997739195824,0.17090624570846558,0.04729997739195824,0.16760069131851196,0.04605233296751976
21,0.16419556736946106,0.044335443526506424,0.052929963916540146,0.1776423305273056,0.052929963916540146,0.1776423305273056,0.052929963916540146,0.16419556736946106,0.044335443526506424
22,0.1651763617992401,0.044874437153339386,0.059142932295799255,0.19093942642211914,0.059142932295799255,0.19093942642211914,0.059142932295799255,0.1651763617992401,0.044874437153339386
23,0.16837477684020996,0.04663319140672684,0.04291092976927757,0.16171754896640778,0.04291092976927757,0.16171754896640778,0.04291092976927757,0.16837477684020996,0.04663319140672684
24,0.16523320972919464,0.0448792427778244,0.0398990698158741,0.1571500152349472,0.0398990698158741,0.1571500152349472,0.0398990698158741,0.16523320972919464,0.0448792427778244
25,0.16554079949855804,0.045166436582803726,0.043303173035383224,0.1642134189605713,0.043303173035383224,0.1642134189605713,0.043303173035383224,0.16554079949855804,0.045166436582803726
26,0.16600117087364197,0.04538460448384285,0.03978774696588516,0.15781912207603455,0.03978774696588516,0.15781912207603455,0.03978774696588516,0.16600117087364197,0.04538460448384285
27,0.16541597247123718,0.04523259401321411,0.042191922664642334,0.15883958339691162,0.042191922664642334,0.15883958339691162,0.042191922664642334,0.16541597247123718,0.04523259401321411
28,0.163963183760643,0.044143691658973694,0.04232244938611984,0.1617300808429718,0.04232244938611984,0.1617300808429718,0.04232244938611984,0.163963183760643,0.044143691658973694
29,0.16547885537147522,0.04506578668951988,0.05357370153069496,0.17821678519248962,0.05357370153069496,0.17821678519248962,0.05357370153069496,0.16547885537147522,0.04506578668951988
30,0.1642288863658905,0.04477180168032646,0.044270604848861694,0.1653333157300949,0.044270604848861694,0.1653333157300949,0.044270604848861694,0.1642288863658905,0.04477180168032646
31,0.16479025781154633,0.044905055314302444,0.04809042066335678,0.17275457084178925,0.04809042066335678,0.17275457084178925,0.04809042066335678,0.16479025781154633,0.044905055314302444
32,0.16409362852573395,0.04410324618220329,0.0432560108602047,0.1602122038602829,0.0432560108602047,0.1602122038602829,0.0432560108602047,0.16409362852573395,0.04410324618220329
33,0.1657913774251938,0.04550404101610184,0.05257941409945488,0.18074996769428253,0.05257941409945488,0.18074996769428253,0.05257941409945488,0.1657913774251938,0.04550404101610184
34,0.165424644947052,0.04518158361315727,0.0519900768995285,0.1773298680782318,0.0519900768995285,0.1773298680782318,0.0519900768995285,0.165424644947052,0.04518158361315727
35,0.16335511207580566,0.043761566281318665,0.04296727105975151,0.16312673687934875,0.04296727105975151,0.16312673687934875,0.04296727105975151,0.16335511207580566,0.043761566281318665
36,0.16122862696647644,0.04275984317064285,0.04558857902884483,0.1654132604598999,0.04558857902884483,0.1654132604598999,0.04558857902884483,0.16122862696647644,0.04275984317064285
37,0.1621299386024475,0.04315761849284172,0.04528803750872612,0.16634602844715118,0.04528803750872612,0.16634602844715118,0.04528803750872612,0.1621299386024475,0.04315761849284172
38,0.163737952709198,0.04404629394412041,0.059746768325567245,0.18829390406608582,0.059746768325567245,0.18829390406608582,0.059746768325567245,0.163737952709198,0.04404629394412041
39,0.16580864787101746,0.045604899525642395,0.05472205951809883,0.18482807278633118,0.05472205951809883,0.18482807278633118,0.05472205951809883,0.16580864787101746,0.045604899525642395
40,0.16566349565982819,0.04530404508113861,0.04162917658686638,0.15839964151382446,0.04162917658686638,0.15839964151382446,0.04162917658686638,0.16566349565982819,0.04530404508113861
